fileprefix	experiment	time	plate	sample
LNS_W0_P1_1	timeseries	0	1	1
LNS_W0_P4_1	timeseries	0	4	1
LNS_W0_P1_2	timeseries	0	1	2
LNS_W0_P4_2	timeseries	0	4	2
LNS_W0_P1_3	timeseries	0	1	3
LNS_W0_P4_3	timeseries	0	4	3
LNS_W0_P1_4	timeseries	0	1	4
LNS_W0_P4_4	timeseries	0	4	4
LNS_W0_P2_5	timeseries	0	2	5
LNS_W0_P2_6	timeseries	0	2	6
LNS_W0_P2_7	timeseries	0	2	7
LNS_W0_P2_8	timeseries	0	2	8
LNS_W0_P3_9	timeseries	0	3	9
LNS_W0_P3_10	timeseries	0	3	10
LNS_W0_P3_11	timeseries	0	3	11
LNS_W0_P3_12	timeseries	0	3	12
LNS_W1_P1_5	timeseries	1	1	5
LNS_W1_P1_6	timeseries	1	1	6
LNS_W1_P1_7	timeseries	1	1	7
LNS_W1_P1_8	timeseries	1	1	8
LNS_W1_P1_9	timeseries	1	1	9
LNS_W1_P1_10	timeseries	1	1	10
LNS_W1_P1_11	timeseries	1	1	11
LNS_W1_P1_12	timeseries	1	1	12
LNS_W2_P2_1	timeseries	2	2	1
LNS_W2_P2_2	timeseries	2	2	2
LNS_W2_P2_3	timeseries	2	2	3
LNS_W2_P2_4	timeseries	2	2	4
LNS_W2_P3_5	timeseries	2	3	5
LNS_W2_P3_6	timeseries	2	3	6
LNS_W2_P3_7	timeseries	2	3	7
LNS_W2_P3_8	timeseries	2	3	8
LNS_W2_P1_9	timeseries	2	1	9
LNS_W2_P4_9	timeseries	2	4	9
LNS_W2_P1_10	timeseries	2	1	10
LNS_W2_P4_10	timeseries	2	4	10
LNS_W2_P1_11	timeseries	2	1	11
LNS_W2_P4_11	timeseries	2	4	11
LNS_W2_P1_12	timeseries	2	1	12
LNS_W2_P4_12	timeseries	2	4	12
LNS_W6_P1_1	timeseries	6	1	1
LNS_W6_P4_1	timeseries	6	4	1
LNS_W6_P1_2	timeseries	6	1	2
LNS_W6_P4_2	timeseries	6	4	2
LNS_W6_P1_3	timeseries	6	1	3
LNS_W6_P4_3	timeseries	6	4	3
LNS_W6_P1_4	timeseries	6	1	4
LNS_W6_P4_4	timeseries	6	4	4
LNS_W6_P2_5	timeseries	6	2	5
LNS_W6_P2_6	timeseries	6	2	6
LNS_W6_P2_7	timeseries	6	2	7
LNS_W6_P2_8	timeseries	6	2	8
LNS_W6_P3_9	timeseries	6	3	9
LNS_W6_P3_10	timeseries	6	3	10
LNS_W6_P3_11	timeseries	6	3	11
LNS_W6_P3_12	timeseries	6	3	12
LNS1_10	pilot	2
LNS1_11	pilot	2
LNS1_12	pilot	2
LNS1_9	pilot	2
LNS2_1	pilot	2
LNS2_2	pilot	2
LNS2_3	pilot	2
LNS2_4	pilot	2
LNS3_5	pilot	2
LNS3_6	pilot	2
LNS3_7	pilot	2
LNS3_8	pilot	2
LNS4_10	pilot	2
LNS4_11	pilot	2
LNS4_12	pilot	2
LNS4_9	pilot	2
